Date,Location,Crime
1989-08-01,Nelson,3304.4853168042373
1989-09-01,Nelson,3302.724272440466
1989-10-01,Nelson,3293.806710242499
1989-11-01,Nelson,3277.107122124305
1989-12-01,Nelson,3252.0
1990-01-01,Nelson,3218.2381679949553
1990-02-01,Nelson,3177.0877790799805
1990-03-01,Nelson,3130.1933184376126
1990-04-01,Nelson,3079.1992712500596
1990-05-01,Nelson,3025.750122699483
1990-06-01,Nelson,2971.4903579684888
1990-07-01,Nelson,2918.0644622392438
1990-08-01,Nelson,2867.116920693924
1990-09-01,Nelson,2820.2922185151206
1990-10-01,Nelson,2779.2348408850007
1990-11-01,Nelson,2745.589272985795
1990-12-01,Nelson,2721.0
1991-01-01,Nelson,2706.606349509262
1991-02-01,Nelson,2701.5270186930843
1991-03-01,Nelson,2704.3755471304344
1991-04-01,Nelson,2713.7654744002307
1991-05-01,Nelson,2728.3103400814625
1991-06-01,Nelson,2746.623683752991
1991-07-01,Nelson,2767.319044993794
1991-08-01,Nelson,2789.009963382873
1991-09-01,Nelson,2810.309978499052
1991-10-01,Nelson,2829.832629921333
1991-11-01,Nelson,2846.1914572286987
1991-12-01,Nelson,2858.0
1992-01-01,Nelson,2864.239211745839
1992-02-01,Nelson,2865.3597017031934
1992-03-01,Nelson,2862.17949304065
1992-04-01,Nelson,2855.5166089268064
1992-05-01,Nelson,2846.1890725302246
1992-06-01,Nelson,2835.014907019547
1992-07-01,Nelson,2822.8121355633407
1992-08-01,Nelson,2810.3987813301624
1992-09-01,Nelson,2798.592867488671
1992-10-01,Nelson,2788.212417207422
1992-11-01,Nelson,2780.0754536549866
1992-12-01,Nelson,2775.0
1993-01-01,Nelson,2773.59189609997
1993-02-01,Nelson,2775.6082485682136
1993-03-01,Nelson,2780.593980706967
1993-04-01,Nelson,2788.094015818481
1993-05-01,Nelson,2797.6532772050336
1993-06-01,Nelson,2808.816688168821
1993-07-01,Nelson,2821.129172012116
1993-08-01,Nelson,2834.1356520372046
1993-09-01,Nelson,2847.381051546264
1993-10-01,Nelson,2860.4102938415786
1993-11-01,Nelson,2872.7683022254305
1993-12-01,Nelson,2884.0
1994-01-01,Nelson,2893.755472372785
1994-02-01,Nelson,2902.1054521721185
1994-03-01,Nelson,2909.2258341314823
1994-04-01,Nelson,2915.292512984426
1994-05-01,Nelson,2920.4813834644897
1994-06-01,Nelson,2924.968340305169
1994-07-01,Nelson,2928.9292782400075
1994-08-01,Nelson,2932.54009200254
1994-09-01,Nelson,2935.9766763262724
1994-10-01,Nelson,2939.4149259447404
1994-11-01,Nelson,2943.030735591481
1994-12-01,Nelson,2947.0
1995-01-01,Nelson,2951.4579736681126
1995-02-01,Nelson,2956.377350150756
1995-03-01,Nelson,2961.690182767104
1995-04-01,Nelson,2967.328524836374
1995-05-01,Nelson,2973.224429677783
1995-06-01,Nelson,2979.3099506105013
1995-07-01,Nelson,2985.5171409537475
1995-08-01,Nelson,2991.7780540267404
1995-09-01,Nelson,2998.0247431486473
1995-10-01,Nelson,3004.1892616386895
1995-11-01,Nelson,3010.2036628160836
1995-12-01,Nelson,3016.0
1996-01-01,Nelson,3021.4959662880674
1996-02-01,Nelson,3026.5518138915554
