Time Frame,Location Id,Location,Median Rent,Crime
1996/2/1,9,Wellington,190,4025.466865
1996/2/1,12,West Coast,120,3026.551814
1996/2/1,13,Canterbury,170,7479.589155
1996/2/1,14,Otago,150,3797.033662
1996/2/1,15,Southland,120,2816.6958
1996/2/1,17,Nelson,178,3026.551814
1996/3/1,1,Northland,140,3518.404737
1996/3/1,2,Auckland,260,9456.426987
1996/3/1,3,Waikato,150,6494.489547
1996/3/1,4,Bay of Plenty,165,4436.826378
1996/3/1,5,Gisborne,150,5194.853509
1996/3/1,7,Taranaki,140,3864.859341
1996/3/1,8,Manawatu-Whanganui,140,3787.088261
1996/3/1,9,Wellington,185,4048.067974
1996/3/1,12,West Coast,130,3031.013435
1996/3/1,13,Canterbury,170,7478.914785
1996/3/1,14,Otago,150,3783.26325
1996/3/1,15,Southland,120,2812.010727
1996/3/1,17,Nelson,160,3031.013435
1996/4/1,1,Northland,150,3504.003288
1996/4/1,2,Auckland,260,9466.574941
1996/4/1,3,Waikato,150,6515.824903
1996/4/1,4,Bay of Plenty,165,4462.45379
1996/4/1,5,Gisborne,140,5236.052229
1996/4/1,7,Taranaki,140,3878.181992
1996/4/1,8,Manawatu-Whanganui,135,3765.826973
1996/4/1,9,Wellington,200,4071.843769
1996/4/1,12,West Coast,130,3034.726721
1996/4/1,13,Canterbury,170,7479.951656
1996/4/1,14,Otago,150,3769.347918
1996/4/1,15,Southland,120,2806.001035
1996/4/1,17,Nelson,165,3034.726721
1996/5/1,1,Northland,150,3485.642255
1996/5/1,2,Auckland,260,9474.053719
1996/5/1,3,Waikato,150,6530.387471
1996/5/1,4,Bay of Plenty,165,4489.805695
1996/5/1,5,Gisborne,160,5278.943035
1996/5/1,7,Taranaki,140,3888.909148
1996/5/1,8,Manawatu-Whanganui,135,3741.933017
1996/5/1,9,Wellington,190,4095.491426
1996/5/1,12,West Coast,130,3037.537564
1996/5/1,13,Canterbury,170,7481.967675
1996/5/1,14,Otago,150,3755.322599
1996/5/1,15,Southland,120,2798.689748
1996/5/1,17,Nelson,170,3037.537564
1996/6/1,1,Northland,140,3464.306797
1996/6/1,2,Auckland,260,9477.260127
1996/6/1,3,Waikato,150,6537.561923
1996/6/1,4,Bay of Plenty,170,4516.911201
1996/6/1,5,Gisborne,148,5321.566915
1996/6/1,7,Taranaki,140,3896.572649
1996/6/1,8,Manawatu-Whanganui,140,3716.014005
1996/6/1,9,Wellington,190,4117.708123
1996/6/1,12,West Coast,120,3039.291857
1996/6/1,13,Canterbury,170,7484.230746
1996/6/1,14,Otago,150,3741.222224
1996/6/1,15,Southland,125,2790.099889
1996/6/1,17,Nelson,170,3039.291857
1996/7/1,1,Northland,150,3440.982073
1996/7/1,2,Auckland,260,9474.590973
1996/7/1,3,Waikato,150,6536.732935
1996/7/1,4,Bay of Plenty,165,4541.799418
1996/7/1,5,Gisborne,150,5361.964855
1996/7/1,7,Taranaki,140,3900.704336
1996/7/1,8,Manawatu-Whanganui,135,3688.677549
1996/7/1,9,Wellington,190,4137.191034
1996/7/1,12,West Coast,120,3039.835491
1996/7/1,13,Canterbury,170,7486.008776
1996/7/1,14,Otago,140,3727.081725
1996/7/1,15,Southland,125,2780.25448
1996/7/1,17,Nelson,170,3039.835491
1996/8/1,1,Northland,150,3416.653241
1996/8/1,2,Auckland,260,9464.443063
1996/8/1,3,Waikato,150,6527.285182
1996/8/1,4,Bay of Plenty,170,4562.499455
1996/8/1,5,Gisborne,150,5398.177842
1996/8/1,7,Taranaki,140,3900.83605
1996/8/1,8,Manawatu-Whanganui,140,3660.531259
1996/8/1,9,Wellington,190,4152.637338
1996/8/1,12,West Coast,130,3039.014359
1996/8/1,13,Canterbury,170,7486.569671
1996/8/1,14,Otago,145,3712.936035
1996/8/1,15,Southland,120,2769.176545
1996/8/1,17,Nelson,170,3039.014359
1996/9/1,1,Northland,150,3392.305459
1996/9/1,2,Auckland,260,9445.213204
1996/9/1,3,Waikato,150,6508.603337
1996/9/1,4,Bay of Plenty,170,4577.040423
1996/9/1,5,Gisborne,150,5428.246863
1996/9/1,7,Taranaki,140,3896.499633
1996/9/1,8,Manawatu-Whanganui,135,3632.182747
1996/9/1,9,Wellington,190,4162.74421
1996/9/1,12,West Coast,120,3036.674351
